applicant_id,income,loan_amount,employment_length,existing_debt,credit_history_length,prior_defaults,monthly_expenses,savings_balance,credit_utilization,transaction_activity,employment_type,employment_notes
APP-1013,100705.16251695955,36148.3351094249,15.85949318238709,1235.118744763489,24.62514809160346,0,4061.309987026165,49287.45601463866,0.20899346351930997,37,Salaried,"Self-employed freelance writer, highly unstable cash flow"
APP-1014,67482.48974722961,29019.089910233837,22.304362995030186,1758.733870542483,29.136265025688257,0,2665.0606353370576,63757.86410978532,0.6237832190193363,22,Salaried,"Government officer, highly stable salaried income stream"
APP-1015,58903.31359005618,11285.625059233025,0.0,21297.729145909998,6.172344262145453,0,2453.3170640513167,2001.4399149865587,0.679849117564586,24,Salaried,"Senior manager at multinational finance company, stable income"
APP-1016,38315.36395014922,6583.679670772084,4.457321573132436,13789.850272345435,7.028843978003027,0,2573.168293561477,15982.432786363757,0.3292661145236435,20,Salaried,"Government officer, highly stable salaried income stream"
APP-1017,47304.851108229144,16408.55788003668,26.127043899048665,3035.4878312316937,29.28641631775376,1,2578.416278823551,12308.148872413964,0.26065802868589355,40,Salaried,Permanent school teacher with regular monthly salary
APP-1018,60723.77487420038,10635.2376982531,12.938950422021597,6245.698079973463,19.39633575446112,0,1773.431934148,37595.05609253981,0.46096822161581624,25,Salaried,"Senior manager at multinational finance company, stable income"
APP-1019,82676.27625907859,18493.81260106542,30.739752388424968,15975.309941677438,35.0,0,2407.357139696679,4996.068492287946,0.4439358064737952,28,Salaried,"Senior manager at multinational finance company, stable income"
APP-1020,71824.81552338984,17192.1960966311,17.860972674288533,1439.0194307811557,23.66238045770306,0,3038.769970458702,213619.45067988674,0.27483969426671545,34,Unemployed,"Currently unemployed, seeking full-time position"
APP-1021,54558.98884934112,16205.971309007775,31.117759192049682,4354.484572255631,35.0,0,2132.735377424384,2148.5394661591026,0.5634967861379894,32,Salaried,"Government officer, highly stable salaried income stream"
APP-1022,44351.045505158785,17598.24552188404,31.051297302617122,5019.014022799772,35.0,0,1593.544665219969,92988.3308417238,0.14204936615184835,26,Salaried,"Gig worker doing delivery services, fluctuating income"
APP-1023,97864.73717884025,32458.903286210378,16.175716748897997,7551.970657517528,20.19773092858764,1,3502.8357213717945,139035.49210896555,0.5296476503893527,37,Salaried,"Senior manager at multinational finance company, stable income"
APP-1024,39557.17982074779,10618.436431411208,28.75570130877156,12116.847575954442,34.75506952806116,0,2810.5761368465455,23430.635027424363,0.19547278983871583,35,Salaried,"Government officer, highly stable salaried income stream"
APP-1025,174754.1100302578,37825.188907061616,28.767191987383935,30247.343474140827,31.913456901628457,0,5557.382073687859,168493.50449703983,0.16462199979631753,26,Salaried,"Senior manager at multinational finance company, stable income"
APP-1026,103042.12482329718,19958.08711939424,22.588025080652663,19041.411224719675,27.35616167449754,0,3920.667529699055,45281.93671102022,0.6351519687569983,38,Salaried,Permanent school teacher with regular monthly salary
APP-1027,27840.08986571128,12185.666523069442,0.0,232.33157606626588,4.66435632741347,0,2082.124913174832,1006.0148346424772,0.28849211201262176,30,Salaried,"Certified nurse at state hospital, long employment record"
APP-1028,58505.11067481886,19733.81232495271,17.943123043840778,4140.416627718996,21.105501873247793,0,2563.9284533325563,5291.9468102061965,0.45286702606523577,26,Salaried,"Part-time retail assistant, searching for full-time work"
APP-1029,71414.23399837049,30121.493804347327,3.125784390425876,3501.440341256537,6.538017222847229,0,3159.4008469905375,16727.787390895242,0.44768385105178815,33,Salaried,"Certified nurse at state hospital, long employment record"
APP-1030,144436.3293990294,26275.354640441958,16.660546097934972,80481.95038145769,20.83522149013421,0,4771.701828520598,15225.576874246071,0.47546299279914456,29,Salaried,Regular full-time software developer at stable tech firm
APP-1031,105048.4214950638,43920.17721170493,13.46647975810879,11624.19739001909,20.53037151993763,0,3933.170743283302,27496.57753085423,0.7856647338683013,19,Salaried,"Government officer, highly stable salaried income stream"
APP-1032,73425.48955192012,30746.16432857925,27.81436529073828,1607.5697124501903,31.586324109369002,0,3031.177840365157,18273.529194903487,0.34137046221854167,30,Salaried,"Certified nurse at state hospital, long employment record"
APP-1033,44881.91514388459,6886.223398863487,3.503430999680547,3625.709414474796,12.124752336100446,0,2414.9784413393795,2516.4239419659484,0.27182779687342373,30,Salaried,"Senior manager at multinational finance company, stable income"
APP-1034,31072.606305582085,12379.729852690494,17.35018942613276,1813.4724186114427,21.716203004241002,0,2155.796922715918,4081.6679850535875,0.3333820517668941,23,Salaried,"Certified nurse at state hospital, long employment record"
APP-1035,71317.71353933832,27679.49063189999,10.708782540002938,16756.054811402,19.380447537322592,0,2906.6684781364697,7921.3286372209795,0.10904716251394349,20,Self-employed,"Business owner of small local cafe, self-employed"
APP-1036,84909.76698733548,35389.66211239755,34.423495572798394,1905.161549474731,35.0,0,2347.989717233142,10823.691380547889,0.00845654586092613,37,Self-employed,"Business owner of small local cafe, self-employed"
APP-1037,67240.0928690115,11238.496736703128,26.89334149613581,9388.318379053193,31.617278188364086,0,1970.1336745176109,31281.9359231604,0.3847233948185695,24,Salaried,"Certified nurse at state hospital, long employment record"
APP-1038,96857.25682597842,31215.26463633066,17.653098134451657,10569.277889595623,23.824279637673087,0,2714.2095291582355,23.535307926894504,0.20567084245915687,29,Salaried,"Part-time retail assistant, searching for full-time work"
APP-1039,180820.75230395581,58815.10259494468,28.223611904599725,11435.521719344648,33.69371385494021,0,4751.934747737818,62727.32900328414,0.15899594761331626,26,Salaried,Regular full-time software developer at stable tech firm
APP-1040,36436.29419799753,7562.827040202301,8.945562366621978,5946.700720242333,13.22962769795311,0,1846.4234977471506,8836.915910388207,0.2567021722142265,24,Salaried,"Certified nurse at state hospital, long employment record"
APP-1041,36998.53948088597,15444.528318413313,31.889048402890964,20128.734338750182,35.0,0,1464.3544131611438,6562.704000255688,0.31670013291985494,30,Salaried,"Certified nurse at state hospital, long employment record"
APP-1042,46790.645937594214,20664.096721364505,21.527207811887752,241.65275410578604,24.651686986045103,0,2373.783578124073,14122.932048498069,0.3587879568623944,32,Salaried,"Contract worker in logistics, unstable hours week to week"
APP-1043,168896.49233458278,43734.02007434575,33.271510298092146,4907.334292207541,35.0,0,5492.9035088799965,5153.192621161623,0.31362827212343947,25,Self-employed,"Business owner of small local cafe, self-employed"
APP-1044,50351.65396675484,22226.255018155785,21.517683870052057,15.737523047974635,28.84587140452213,1,1814.7084215321279,68244.2474420677,0.11449705130372353,35,Salaried,"Certified nurse at state hospital, long employment record"
APP-1045,48528.50282662758,13832.010278213103,24.153127983204357,2560.3857225478228,32.67327596616636,0,2685.602970916911,38679.17622282525,0.14380992649062777,35,Salaried,"Certified nurse at state hospital, long employment record"
APP-1046,24396.09637094422,5635.534829960713,30.79039370850777,3835.471225572114,35.0,0,1851.301906288168,13384.042463076812,0.09495698890604821,36,Salaried,"Certified nurse at state hospital, long employment record"
APP-1047,34206.2978133484,7328.797677729446,26.39477721125482,1736.702769590858,34.50747147518547,0,1983.69446867765,40754.19757544447,0.5269693034788177,29,Salaried,"Certified nurse at state hospital, long employment record"
APP-1048,83902.42085431468,32361.16209440413,33.15548278428474,32089.04483979557,35.0,0,2554.055364279335,25825.093610242864,0.12465502256389031,32,Salaried,"Temporary construction worker, work depends on season"
APP-1049,72372.12998920825,22758.22190990763,29.441875799682318,43955.31751007686,32.621367290262576,1,3344.001482809219,2250.581533237562,0.3836025119319903,23,Salaried,"Senior manager at multinational finance company, stable income"
